time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
163.59999999999877,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.700000000000001,力行（加速）,0.7999999999999999,70.0,6.9,0,70.0,51.9,14.4,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方52.3m先を0.0km/h,後続列車なし,90.0,18.4,未発車,30.0,12.5,0.0,-0.05
157.69999999999968,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.1,惰行,0.1,70.0,16.0,14.17,15.2,61.8,20.3,9.56,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方62.1m先を0.0km/h,後続列車なし,90.0,24.3,未発車,30.0,13.7,0.0,-0.05
166.6999999999986,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,2.1000000000000005,ブレーキ（減速）,2.0000000000000004,70.0,5.2,0,70.0,50.9,11.3,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方51.3m先を0.0km/h,後続列車なし,90.0,15.3,未発車,30.0,12.4,0.0,-0.05
155.6999999999991,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.7999999999999999,力行（加速）,0.7999999999999999,70.0,5.1,0.2,12.2,50.8,22.3,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方51.2m先を0.0km/h,後続列車なし,90.0,26.3,未発車,30.0,12.4,0.0,-0.05
147.0,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0,惰行,1.0,70.0,35.0,36.2,36.2,107.5,31.0,61.86,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方107.9m先を0.0km/h,後続列車なし,60.0,15.0,未発車,60.0,36.2,10.0,-0.5
180.499999999999,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.500000000000001,惰行,0.1,70.0,0.0,0,70.0,45.6,0.0,0.0,2.6,9.2,この先制限速度なし,この先目立った勾配なし,前方46.0m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,11.7,13.5,-0.05
171.1999999999989,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.2000000000000006,力行（加速）,0.7999999999999999,70.0,12.9,0,70.0,51.0,6.8,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方57.9m先を10.7km/h,後続列車なし,90.0,0.0,発車済み,30.0,70.0,0.0,-0.05
162.49999999999895,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.8999999999999999,力行（加速）,0.1,70.0,0.0,0,70.0,48.2,15.5,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方48.6m先を0.0km/h,後続列車なし,90.0,19.5,未発車,30.0,12.1,0.0,-0.05
162.69999999999928,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,1.5000000000000002,力行（加速）,0.30000000000000004,70.0,8.4,0.28,70.0,53.0,15.3,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方53.4m先を0.0km/h,後続列車なし,90.0,19.3,未発車,30.0,12.7,0.0,-0.05
152.99999999999983,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.9000000000000012,惰行,0.2,70.0,22.9,20.61,20.6,74.5,25.0,20.18,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方74.9m先を0.0km/h,後続列車なし,90.0,29.0,未発車,30.0,15.0,0.0,-0.05
